Международный аэропорт СИМФЕРОПОЛЬ,1,sipaero,"Аэропорт Симферополь основан в 1936 году. На протяжении последних пяти лет он входит в первую десятку российских аэропортов по объему перевезенных пассажиров. С 2015 года воздушная гавань ежегодно обслуживает более 5 млн пассажиров. В 2018 году международный аэропорт Симферополь обладал самой широкой маршрутной сетью в России на внутренних воздушных линиях, пассажиропоток составил 5,1 млн человек. С 16 апреля 2018 года рейсы обслуживаются в новом современном аэровокзальном комплексе, построенном за 32 млрд рублей частных инвестиций. В этом году рейсы в аэропорт будут совершать 15 авиакомпаний по 56 направлениям."
Сеть Санаториев КУРОРТЫ КРЫМА,1,kurorty,"Сеть санаториев «Курорты Крыма». Говорить «спасибо» и дарить улыбку – базовая ценность нашей Компании.

Сеть санаториев «Курорты Крыма» — это южнобережные здравницы «Ай-Петри», «Дюльбер», «Мисхор», «Морской Прибой», а также новый уникальный бутик-отель «Дача Рахманинов 5*», который откроет свои двери уже в июле 2019 года.

В своей работе сотрудники санаториев придерживаются общих ценностей компании:
• Вежливость и уважение в общении друг с другом и с нашими Гостями.  
• Честность и безупречность в выполнении взятых на себя обязательств.
• Надежность и доверие как в отношении Гостей, так и между собой. 
• Приверженность команде, где каждый готов оказать помощь и поддержку.
• Постоянное стремление к развитию и открытие нового определяет нашу успешность.
• Социальная ответственность - забота об окружающей природе и живущих рядом людях.

Перечисленные ценности определяют инструменты и методы работы с персоналом и как показывает проведенное исследование – 91 % опрошенных сотрудников в целом довольны своей работой, 82% - гордятся компанией в которой они работают, а 69% рекомендовали бы своим родным и близким нашу компанию как работодателя."
"Резиденция 
КРЫМСКИЙ БРИЗ",1,briz,"Резиденция «Крымский Бриз» — мир абсолютной исключительности — расположена в Лименской долине, в зоне уникального сухого субтропического климата, безупречно подходящего для гармоничного образа жизни человека. Резиденция «Крымский Бриз» это:
1. Престиж (лучший эко-отель России 5*) и персонализированный подход к гостям.
2. Стабильность (своевременная з/пл, премировании, сезонная надбавка, ежегодная индексация з/пл)
3. Хороший социальный пакет (предоставляется проживание в общежитии, питание, униформа, осуществляется доставка сотрудников служебным транспортом до места работы и обратно).
4. Приверженность традициям в рамках корпоративной культуры (день рождения Резиденции, день туризма, новый год и др)
5. Развитая система внутреннего обучения (навыковые обучения по проф.стандартам, тренинги личностного роста, обучение английскому языку).
6. Прозрачность организационной структуры и системы управления.
7.Профессиональный коллектив.
8. Статус гостей.
9. Уникальный климат и место расположения отеля.
10. Концепция Резиденции (отдельно стоящие виллы по дизайну итальянского архитектора, утопающие в зелени непревзойденного садово-паркового ансамбля)."
"Панорамный ресторан 
SIMFERO",2,simfero,"Панорамный ресторан Simfero
Залогом успеха и высокого роста является сплоченный коллектив, где главная цель - это дарить комфорт, уют и премиум-сервис каждому гостю ресторана! Профессионализм, стремление к развитию, соблюдение корпоративных норм и высокий уровень ответственности каждого сотрудника делают возможным достижение нашей миссии.
Наша миссия: “Объединять самых разных людей в уюте и комфорте ресторана Simfero!”.
В чем привлекательность работодателя:
- более двух лет стабильности и постоянного развития;
- оформление согласно законодательству РФ;
- “белая” заработная плата;
- работа в центре столицы полуострова;
- возможность карьерного роста."
"Сеть Виномаркетов 
ТОЧКА",2,tochka,"Наша компания появилась на рынке продажи алкогольных напитков в 2006 году. Основной стратегией свой деятельности мы выбрали развитие качественной дистрибуции алкогольной продукции на территории Крыма. 
В 2008 году, в связи со складывающимися мировыми тенденциями рынка, мы приняли решение и переориентировали структуру компании на развитие розничной сети специализированных магазинов по продаже алкогольной продукции. Так появилась «Крымская сеть виномаркетов «Точка». С 2008 года и по сегодняшний день «Точка» является единственной сетью специализированных магазинов по продаже алкогольной продукции на территории Крыма, реализующей широчайший ассортимент, как отечественной, так и импортной алкогольной продукции. 
С 2017 года мы выпускаем вина собственной торговой марки, которые изготовляются по нашему заказу в Крыму и за рубежом.
На сегодняшний момент на территории Крыма функционируют 50 виномаркетов «Точка». Из них 34 находятся в Севастополе, 9 в Симферополе, 3 в Саках, 2 в Евпатории, 1 в Феодосии и 1 в Ялте."
"РМС 
(Регион-Медсервис)",4,pmc,"«Регион-Медсервис Юг» - сервисная медицинская компания. Наша специализация:
1) Организация и сопровождение по ДМС.
2) Помощь в подборе медицинских специалистов и лечебных учреждений по всей территории РФ и за рубежом.
3) Организация и проведение всех видов медицинских осмотров, услуга ""ВИП-врач"", ""Врач офиса"".
Ценности нашей компании: гуманизм и ясные цели. 
«Регион-Медсервис Юг» - это полностью укомплектованный штат из 41 сотрудника. Компания предоставляет социальный пакет уровня «ВИП» для всех сотрудников: ДМС без ограничений; белая зарплата + бонусы и ежегодная премия;  регулярное внешнее/внутреннее обучение и курсы повышения квалификации за счет компании (включая оплату перелетов и проживания); санаторно-курортное лечение на специальных условиях.    
Благодаря обучению, индивидуально прописанным четким алгоритмам и регулярной обратной связи, каждый выполняет целевые показатели своей работы точно в срок, чем обеспечивает бесперебойную системную работу Компании на результат.  
«Регион-Медсервис Юг» - это мощное объединение профессионалов в большую семью. "
АСКАНИЯ ЮГ,4,askania,"Аскания Юг» работает на чайно-кофейном рынке Крыма с 2010 года.
Благодаря многолетнему опыту и знанию местного рынка наша команда знает, как увеличить Вашу выручку от продажи кофе и чая. Наша компания имеет возможность предложить Вам наиболее комфортные цены благодаря прямым контрактам с производителями кофе и чая. Мы предлагаем только высококачественные чай, кофе, кофейное оборудование и сопутствующие товары оптом и в розницу по всему Крыму.
Сегодня наша команда насчитывает ок. 100 человек. Наши представительства расположены во всех крупных городах Крыма – Симферополе, Севастополе, Ялте, Алуште, Бахчисарае, Судаке, Феодосии, Саки, Керчь. Автопарк компании представлен автомобилями различной грузоподъемности. Это позволяет доставлять товары в кратчайшие сроки в любую точку Крыма.
Работа в ""Аскании Юг"" - это развитие вместе с компанией, возможность участвовать в разноплановых проектах, стабильность, справедливая система оплаты, низкий уровень формализма и сплоченная команда профессионалов. "
Гринвуд Девелопмент,2,greenwood,"Компания воспринимается как заметный участник в отрасли, стабильна на рынках труда и продукта, благожелательна и гостеприимна к талантам, создает условия для личностного и профессионального роста персонала. "
Группа компаний ОАЗИС,2,oazis,"Группа Компаний «ОАЗИС»  начала свои торговые операции в далеком 1989 году. Мы являемся стабильной компанией и благонадежным торговым партнером на рынке Крыма.  Мы - лидеры продаж бакалейной группы товара в секторе FMCG. Продвигаем собственные торговые марки  - «ОЛИС» и «Всегда есть!».
Наш успех вдохновляет многих людей, и они стараются подражать нам. Мы гордимся тем, что участвуем в трансформации нашей культуры, которая теперь движется по пути более качественного и здорового образа жизни. Как в горячей пустыне среди раскалённого песка, где нет ни капли влаги, встречаются настоящие чудесные зеленые островки — оазисы, так и на Крымском полуострове среди множества компаний есть успешная семья — команда ОАЗИС
 «Мы не отгружаем товар, МЫ ПОМОГАЕМ НАШИМ КЛИЕНТАМ ПРОДАВАТЬ БОЛЬШЕ!»
Наша ГЛАВНАЯ ЦЕННОСТЬ - это СОТРУДНИКИ, которые вовлечены в жизнь семьи ОАЗИС
МЫ ЗАБОТИМСЯ о клиентах и о сотрудниках компании
Мы предоставляем возможность лучшим сотрудникам шагать по карьерной лестнице
Сотрудник, которого ценят и развивают может достичь самых амбициозных целей.
Сотрудник, которого слышат, дает рост семьи ОАЗИС.
Для нас важно дарить приятные эмоции  и радость общения."
"Сеть магазинов
ПУД",1,pud,"Сеть продуктовых супермаркетов  самообслуживания в формате «Дискаунтер»
Залогом успеха и высоких показателей роста  является сплоченная  команда, где главная 
ценность – это персонал! Профессионализм, стремление к развитию, соблюдение корпоративных норм и высокий уровень ответственности каждого сотрудника делают возможным достижение нашей миссии.

Наша миссия: «Мы обеспечиваем жителей и гостей Крыма широким выбором качественных товаров по доступным ценам, создавая в наших магазинах комфорт и удобства при совершении покупок»
В чем привлекательность работодателя:
-28 лет стабильности
-Оформление  согласно законодательству РФ                          
-«Белая» заработная плата 
-Выгодное расположение рабочего места 
-Возможность карьерного роста"
